source_path	destination_path	disposition	tracked	files	bytes	notes
training	local/training_runs	copied-verbatim	no	726	40442067927	training runs, checkpoints, logs, caches
act_kaggle_output	local/checkpoints/act_kaggle_output	copied-verbatim	no	34	1861567226	local ACT checkpoints
evidence	local/evidence	copied-verbatim	no	4010	20467903106	recorded evidence groups
scratch_carton_preflight_20260811_attempt01	local/scratch/carton_preflight_20260811_attempt01	copied-verbatim	no	140	5208654607	carton preflight scratch
LeFranX	local/legacy/LeFranX	copied-verbatim	no	988	447775821	Franka/XHand reference checkout
franka-vr-teleop	local/legacy/franka-vr-teleop	copied-verbatim	no	60	1427925881	Quest->Franka reference checkout
hand-tracking-streamer	local/legacy/hand-tracking-streamer	copied-verbatim	no	279	210110732	Quest streamer reference checkout
datasets/hand_tracking_pv_carton_dual_view	local/datasets/hand_tracking_pv_carton_dual_view	copied-verbatim	no	215	384904697	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.aborted-session-cjUiUn	local/datasets/hand_tracking_pv_carton_dual_view.aborted-session-cjUiUn	copied-verbatim	no	601	289319743	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-070693d0829b44369d8982e1dc561616.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-070693d0829b44369d8982e1dc561616.bak	copied-verbatim	no	19	33016576	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-08ba1e40e1114efa82455ab1acb7cf3b.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-08ba1e40e1114efa82455ab1acb7cf3b.bak	copied-verbatim	no	83	163453405	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-0ef3deebccff459b947b1cd37723f882.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-0ef3deebccff459b947b1cd37723f882.bak	copied-verbatim	no	95	179210970	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-2a976f5cdb51498e91fb3824f6cdffee.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-2a976f5cdb51498e91fb3824f6cdffee.bak	copied-verbatim	no	39	77799244	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-2b58afa5b8064140bc6f017533a88026.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-2b58afa5b8064140bc6f017533a88026.bak	copied-verbatim	no	257	129906781	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-314ec34c58364a318da984ec1aa805aa.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-314ec34c58364a318da984ec1aa805aa.bak	copied-verbatim	no	95	179210970	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-3562a2c05bcb4467a8b2b743e7481610.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-3562a2c05bcb4467a8b2b743e7481610.bak	copied-verbatim	no	7	7326198	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-3ea7c7819b0b443ead0dbc4668ac3c6b.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-3ea7c7819b0b443ead0dbc4668ac3c6b.bak	copied-verbatim	no	59	126008194	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-6729bf0332944a688ebc5c7f6e94ba03.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-6729bf0332944a688ebc5c7f6e94ba03.bak	copied-verbatim	no	211	380098731	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-6d3fa623495b440896a3012acc448a81.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-6d3fa623495b440896a3012acc448a81.bak	copied-verbatim	no	71	145302762	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-747b09fa6a944a8d90e4c1ee4a2ae46b.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-747b09fa6a944a8d90e4c1ee4a2ae46b.bak	copied-verbatim	no	7	7326198	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-757910e5a4964b409617dc4c497e5d7d.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-757910e5a4964b409617dc4c497e5d7d.bak	copied-verbatim	no	195	351707234	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-7b77c67dc57641078f8d90258feffdb2.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-7b77c67dc57641078f8d90258feffdb2.bak	copied-verbatim	no	35	67299034	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-886bb881232c4d829a986557ca1c2e5d.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-886bb881232c4d829a986557ca1c2e5d.bak	copied-verbatim	no	15	22220712	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-8a07e04b3f354cca9321094d043afe68.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-8a07e04b3f354cca9321094d043afe68.bak	copied-verbatim	no	87	167994192	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-95779e40ba5240bcbbb5e9847499a475.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-95779e40ba5240bcbbb5e9847499a475.bak	copied-verbatim	no	59	126008194	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-988f1c64f8204cc091183a041cb1db3c.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-988f1c64f8204cc091183a041cb1db3c.bak	copied-verbatim	no	95	179210970	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-99ffa8dac4694a3d9a8c737874c8cc8e.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-99ffa8dac4694a3d9a8c737874c8cc8e.bak	copied-verbatim	no	55	117638389	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-bca0fc12fe66453e9b1d698b2e10877d.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-bca0fc12fe66453e9b1d698b2e10877d.bak	copied-verbatim	no	7	6951981	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-d8466af36afe4ab8be377a8f21c1b790.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-d8466af36afe4ab8be377a8f21c1b790.bak	copied-verbatim	no	601	286624021	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-ef0dec9c32454c54b30a7e5216a091d8.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-ef0dec9c32454c54b30a7e5216a091d8.bak	copied-verbatim	no	7	6951981	PressureVision carton dataset
datasets/hand_tracking_pv_carton_dual_view.session-fdc5e1a12d1e48c7ac70bc3cc5fd0be5.bak	local/datasets/hand_tracking_pv_carton_dual_view.session-fdc5e1a12d1e48c7ac70bc3cc5fd0be5.bak	copied-verbatim	no	91	173982727	PressureVision carton dataset
datasets/hand_tracking_pv_carton_middle_standard	local/datasets/hand_tracking_pv_carton_middle_standard	copied-verbatim	no	55	76628323	PressureVision carton dataset
datasets/hand_tracking_pv_carton_phase_b	local/datasets/hand_tracking_pv_carton_phase_b	copied-verbatim	no	96	171892884	PressureVision carton dataset
datasets/hand_tracking_pv_carton_phase_b_train24	local/datasets/hand_tracking_pv_carton_phase_b_train24	copied-verbatim	no	76	140919152	PressureVision carton dataset
datasets/hand_tracking_pv_carton_phase_b_train24_onset_qreplace	local/datasets/hand_tracking_pv_carton_phase_b_train24_onset_qreplace	copied-verbatim	no	78	140920934	PressureVision carton dataset
datasets/hand_tracking_pv_pick_place.session-61b7044757f64ad0a4e37279a235685d.bak	local/datasets/hand_tracking_pv_pick_place.session-61b7044757f64ad0a4e37279a235685d.bak	copied-verbatim	no	1	2982	PressureVision carton dataset
scratch_lepton/pv_* (78 entries)	local/scratch/pressurevision	copied-verbatim	no	58056	13004147848	PressureVision scratch: 73 dirs + 5 loose files
